english,pos,twi
hopeless,ADJECTIVE,anidasoɔ nni mu; deɛ anidasoɔ nni mu 
horizon,NOUN,ewiem ne asase ahyiaeɛ
horn,NOUN,abɛn; abebɛn 
horror,NOUN,ehu
horrible,ADJECTIVE,ɛyɛ hu; deɛ ɛyɛ hu
horseman,NOUN,ɔpɔnkɔkafoɔ 
howl,VERB,pɔ so; pa so
honesty,NOUN,nokorɛdie
honour,NOUN,animuonyam
humane,ADJECTIVE,deɛ ɔdɔ wɔ mu
humble,ADJECTIVE,brɛ ase; brɛ ho ase
hunch,VERB,kunkon 
igloo,NOUN,nsukyeneeɛ sese
bull,NOUN,nantwinini
calf,NOUN,nantwie ba
termite,NOUN,fɔteɛ
monkey,NOUN,adoe
humanitarian,ADJECTIVE | NOUN,ahummɔborɔ 
elephant,NOUN,ɔsono
humbug,NOUN,nnaadaa
rabbit,NOUN,adanko
horse,NOUN,pɔnkɔ
donkey,NOUN,afunumu pɔnkɔ
tsetsefly,NOUN,huruiɛ
lion,NOUN,gyata 
idol,NOUN,ohoni
ignite,VERB,sɔ; sɔ gya
ant,NOUN,tɛtea
red-ant,NOUN,nhohoa
idleness,NOUN,aniha
bee,NOUN,wowa
sheep,NOUN,odwan
goat,NOUN,mmirekyie
ewe,NOUN,odwan bedeɛ
locust,NOUN,atuboa; atutubɛ
wasp,NOUN,kotokurodu
cattle-2,NOUN,nantwie
ram,NOUN,odwannini
illustrious,ADJECTIVE,agye din; deɛ wagye din 
illustration,NOUN,mfatoho; mfatoho mfonin 
ignominious,ADJECTIVE,animguaseɛ 
ignition,NOUN,egyasɔ
ignominy,NOUN,animguaseɛ 
image,NOUN,mfonin 
ignorant,ADJECTIVE,deɛ ɔnnim nyansa; kwasea 
imagine,VERB,de adwene bu
ignoramus,NOUN,ogyimifoɔ 
ignore,VERB,bu ani gu so
imbecile,NOUN,ogyimifoɔ 
imbibe,VERB,nom; nom nsa 
imitation,NOUN,asuasua
imitate,VERB,suasua
immaculate,ADJECTIVE,ɛho te 
immaterial,ADJECTIVE,ɛho nhia; deɛ ɛho nhia 
ministry-of-interior,NOUN,afisɛm asoeɛ
ill,ADJECTIVE,yare; deɛ ɔyare
illiterate,ADJECTIVE,nnim atwerɛ ne akenkan
illustrate,VERB,kyerɛ mu; kyerɛkyerɛ mu 
illuminate,VERB,hyerɛn 
illegitimate,ADJECTIVE,mmara mma ho kwan; deɛ mmara mma ho kwan 
illicit,ADJECTIVE,mmara mma ho kwan; deɛ mmara mma ho kwan 
ill-natured,ADJECTIVE,bo nkyɛre fu 
hut,NOUN,sese
illogical,ADJECTIVE,nyansa nnim 
illumination,VERB,ɛhann 
husbandry,NOUN,kuayɔ 
husk,NOUN,ntɛtɛ
hygiene,NOUN,ahonidie
husky,ADJECTIVE,weserewesere
hunt,VERB,yɛ ha
hunter,NOUN,ɔbɔmmɔfoɔ 
hustle,VERB,piapia 
hydrotherapy,NOUN,nsuom apɔmutenetene mu ayaresa
hygienic,ADJECTIVE,ɛho te; deɛ ɛho te
hymn,NOUN,ayɛyie nnwom
hypocrite,NOUN,nyaatwomni
husbandman,NOUN,okuani 
hunting,NOUN,ahayɔ 
hypocrisy,NOUN,nyaatwom
hurdle,NOUN,akwansideɛ 
hurl,VERB,to 
hurricane,NOUN,mmoatia mframa 
hysteria,NOUN,anikrakra
ice,NOUN,nsukyeneeɛ
hurry,VERB,yɛ ntɛm
identify,VERB,hunu 
idiocy,NOUN,gyimie 
ideology,NOUN,nsusuiɛ
hurt,VERB,pira 
idea,NOUN,adwene
ideal,ADJECTIVE,ɛyɛ; deɛ ɛyɛ
identical,ADJECTIVE,ɛsɛ; deɛ ɛsɛ
idle,NOUN,aniha 
humiliation,NOUN,animguaseɛ
humid,ADJECTIVE,fɔsɔ 
humiliate,VERB,gu anim ase
humbleness,NOUN,ahobrɛaseɛ
humour,NOUN,deɛ ɛma sereɛ; deɛ ɛyɛ sere
housewife,NOUN,ɔbaa warefoɔ a ɔnyɛ adwuma
housemaid,NOUN,abaawa
maidservant,NOUN,abaawa
huff,VERB,home teetee 
hug,VERB,bam 
honourable,ADJECTIVE,onimuonyamfoɔ 
wrestling,VERB,ntentam 
hullabaloo,NOUN,basabasayɔ 
hullo,EXCLAMATION,hɛloo 
huge,ADJECTIVE,kɛseɛ
however,ADVERB,nanso
hope,NOUN,anidasoɔ 
hostel,NOUN,asukuufoɔ daberɛ 
hot,ADJECTIVE,ɛyɛ hye; deɛ ɛyɛ hye 
hotel,NOUN,ahɔhogyebea
hoof,NOUN,tɔte
guest-house,NOUN,ahɔhogyebea
hook,NOUN,kɔtɔkorɔ 
hound,NOUN,ɔkraman 
house,NOUN,ɛdan 
hoop,NOUN,dantaban
hooligan,NOUN,basabasayɔfoɔ 
hoot,NOUN,tutubɔ  
housekeeping,NOUN,fidua mu ntotoeɛ
hop,VERB,huri; hurihuri 
history,NOUN,abakɔsɛm
storey-building,NOUN,abansoro
housekeeper,NOUN,fidua so hwɛfoɔ 
housebreaking,NOUN,adammuo
hire,VERB,bɔ paa 
hive,NOUN,nwowa dan; nwowa buo 
hoard,NOUN,deɛ wɔde asum kokoam
hoarse,NOUN,afa; ɛnne a afa 
hoax,NOUN,nnaadaa 
hill,NOUN,bebɔ 
hobby,NOUN,anigyeɛ dwumadie
ho,NOUN,ahyawoni; ahyawoni baa
hoist,VERB,si frankaa
hole,NOUN,tokuro
highlight,NOUN,mpɛmpɛnso kɛseɛ 
high,ADJECTIVE,tenten 
highway,NOUN,kwantempɔn
hind,ADJECTIVE,akyire 
herdsman,NOUN,mmoakuo so hwɛfoɔ 
hew,VERB,twa 
hinder,VERB,si kwan
heritage,NOUN,agyapadeɛ 
hindrance,NOUN,osiakwan
hinderance,NOUN,osiakwan
hint,VERB,bɔ ani; bɔ ani kyerɛ
herbal-medicine,NOUN,abibiduro
heresy,NOUN,abususɛm
hereditary,ADJECTIVE,wɔde wo; deɛ wɔde wo
hero,NOUN,ɔdɔmmarima
hesitate,VERB,twetwe nan ase
hesitation,NOUN,ntwentwɛnsoɔ 
heyday,NOUN,mmeranteberɛ mu 
hideous,ADJECTIVE,tantaantan 
holiday,NOUN,afoofi da
holocaust,NOUN,ɔsɛeɛ 
honest,ADJECTIVE,ɔnokwafoɔ 
honey,NOUN,ɛwoɔ 
hollow,ADJECTIVE,tokuro da mu; deɛ tokuro da mu 
holiness,NOUN,ahoteɛ
hospitality,NOUN,ahɔhogyeɛ
holy,ADJECTIVE,kronkron; deɛ ɛyɛ kronkron 
homage,NOUN,obuo 
homesick,ADJECTIVE,ani agyina
honeymoon,NOUN,ayefohyia akyi ahomegyeɛberɛ
hose,NOUN,dorobɛn 
host,NOUN,ahɔhogyefoɔ 
hostage,NOUN,deɛ wɔafa no nnɔmum
henceforth,ADVERB,ɛfiri nnɛ rekɔ 
henchman,NOUN,okyidifoɔ 
hemisphere,NOUN,ntwahohyiafa
helper,NOUN,ɔboafoɔ 
hemorrhoid,NOUN,kooko
hemorrhage,NOUN,mogyatuo
hemorrhoids,NOUN,kooko
herb,NOUN,ahaban 
herculean,ADJECTIVE,adwumasono 
herd,NOUN,mmoakuo
hedgehog,NOUN,apɛsɛ
spider,NOUN,ananse
guinea-fowl,NOUN,akɔmfɛm 
hawk,NOUN,akorɔma
mosquito,NOUN,ntontom
grasshopper,NOUN,abɛbɛ 
tick,NOUN,somorɔ 
beetle,NOUN,ɔbankuo 
bedbug,NOUN,sonkuronsuo 
eagle,NOUN,ɔkɔdeɛ 
chameleon,NOUN,abosomakoterɛ
temple,NOUN,asontɔrem 
friday,NOUN,Efiada
mustache,NOUN,ano nwi; ano ho nwi
armpit,NOUN,amɔtoamu; amɔtoam
hand,NOUN,nsa 
neck,NOUN,ɛkɔn
scruff,NOUN,ɛkɔn akyi nam
palm,NOUN,nsayam 
cheek,NOUN,afono 
finger,NOUN,nsateaa 
gall-bladder,NOUN,bɔnwono
arm,NOUN,abasa 
ribs,NOUN,mfe mpadeɛ
stomach,NOUN,yafunu 
elbow,NOUN,abatwɛ 
waist,NOUN,sisie; sisi
vein,NOUN,ntini 
fingernail,NOUN,bɔwerɛ 
intestine,NOUN,nsono
bladder,NOUN,dwonsɔtwaa
navel-belly-button,NOUN,afunuma
lower-abdomen,NOUN,ayaaseɛ
womb,NOUN,awodeɛ
hip,NOUN,pa
thigh,NOUN,ɛserɛ; serɛ
october,NOUN,Ahinime
knee,NOUN,kotodwe
body,NOUN,nipadua
august,NOUN,Ɔsanaa
november,NOUN,Obubuo
december,NOUN,Ɔpɛnimma
skin,NOUN,honam
body-parts,NOUN,honam akwaa
hair,NOUN,nwi 
september,NOUN,Ɛbɔ
flesh,NOUN,nam
head,NOUN,etire 
face,NOUN,anim 
skull,NOUN,tikwankora
eye,NOUN,ani 
nose,NOUN,ɛhwene 
eyelashes,NOUN,anisoatɛtɛ
brain,NOUN,adwene 
mouth,NOUN,ano
forehead,NOUN,moma 
gum,NOUN,ɛse akyi nam 
throat,NOUN,mene 
shoulder,NOUN,abatire 
occiput-back-head,NOUN,atikɔ
eyebrow,NOUN,ani ntɔn nwi 
heart,NOUN,akoma 
chest,NOUN,koko; kokoɔ
ear,NOUN,aso
kidney,NOUN,sawa; saa
tooth-teeth,NOUN,ɛse 
tongue,NOUN,tɛkyerɛma; kɛtrɛma 
chin,NOUN,abɔdweɛ 
beard,NOUN,abɔdwesɛ
liver,NOUN,brɛboɔ 
lung,NOUN,ahrawa
pancreas,NOUN,tann
saturday,NOUN,Memeneda
sunday,NOUN,Kwasiada
january,NOUN,Ɔpɛpɔn
july,NOUN,Kitawonsa
february,NOUN,Ɔgyefoɔ
march,NOUN,Ɔbɛnem
april,NOUN,Oforisuo
may,NOUN,Kotonimma
june,NOUN,Ayɛwohomumɔ
bear,VERB,pagya kɔ 
adder,NOUN,nanka 
duck,NOUN,dabodabo 
owl,NOUN,patuo 
camel,NOUN,yoma
monday,NOUN,Ɛdwoada
crab,NOUN,ɔkɔtɔ; kɔtɔ 
tuesday,NOUN,Ɛbenada
wednesday,NOUN,Wukuada
hyena,NOUN,pataku 
thursday,NOUN,Yawoada
vulture,NOUN,ɔpɛtɛ
crow,NOUN,anene
bushback,NOUN,ɔwansane 
centipede,NOUN,sakasaka 
tortoise,NOUN,akyekyedeɛ
millipede,NOUN,kankabi 
cricket,NOUN,akatakyire 
bongo,NOUN,trɔmo 
bat,NOUN,apan
flying-fox,NOUN,nankwaasere
pangolin,NOUN,aprawa
deer,NOUN,ɔforoteɛ 
hippopotamus,NOUN,susono
civet,NOUN,kankane
jackal,NOUN,sakraman 
eel,NOUN,ONLY
foal,NOUN,pɔnkɔ ba 
antelope,NOUN,adowa 
snake,NOUN,ɔwɔ 
potto-tree-bear,NOUN,ɔwea 
driver-ants,NOUN,nkrane 
pig,NOUN,prako 
buffalo,NOUN,ɛkoɔ
boar,NOUN,prakonini 
sow,VERB,gu 
crocodile,NOUN,ɔdɛnkyɛm 
fowl,NOUN,akokɔ 
squirrel,NOUN,opuro 
cockroach,NOUN,tɛfrɛ 
housefly,NOUN,nwansena
alligator,NOUN,ɔkyekye
earthworm,NOUN,sonsono 
leopard,NOUN,etwie
scorpion,NOUN,nyanyankyerɛ
bird,NOUN,ntakraboa 
hen,NOUN,akokɔ bedeɛ
grasscutter,NOUN,akranteɛ 
butterfly,NOUN,afofantɔ
cock,NOUN,akokɔnini 
rat,NOUN,okusie 
forest-squirrel,NOUN,opurohemaa
ground-squirrel,NOUN,amoakua 
tiger,NOUN,ɔsebɔ 
lice,NOUN,edwie 
praying-mantis,NOUN,akokromfi
shark,NOUN,oboodede
whale,NOUN,bonsu
porcupine,NOUN,kɔtɔkɔ
testicle,NOUN,hwowa 
breast,NOUN,nufoɔ
remorse,NOUN,nnuhoo
grandchild,NOUN,nana 
shin,NOUN,nanhini
back,NOUN,akyire; akyi 
girl,NOUN,abaayewa 
son,NOUN,ɔbabarima 
envy,NOUN,anibere
grandfather,NOUN,nanabarima 
shame,NOUN,aniwuo
grandmother,NOUN,nanabaa 
selfishness,NOUN,pɛsɛmenkomenya
red,NOUN,kɔkɔɔ
great-grandfather,NOUN,nanabarima prenu 
old-woman,NOUN,aberewa 
first-born,NOUN,abakan
health,NOUN,apɔmuden 
last-born,NOUN,kaakyire
brown,NOUN | ADJECTIVE,dodoeɛ
ash,NOUN,nson 
grey,NOUN | ADJECTIVE,nsonso 
pink,NOUN | ADJECTIVE,memen
